Código,Imagen,Categoría,Enlace,Name,Precio,Talla,Color
EP_00046,Chaleсо Burgos,Chaleco,https://drive.google.com/uc?export=view&id=1_lVKa-Lp5hv6ITwf4338TOn7QQwxZJc1,00046_CHALEСО_BURGOS.png,155000,Única,"Cafe, Beige"
EP_00047,Chaleco Celestial,Chaleco,https://drive.google.com/uc?export=view&id=1iIKhEJPioPZOtXzYKSUlDxYPdJtjUYUk,00047_CHALECO_CELESTIAL.png,135000,S-M-L,"Negro, Rosado, Cafe, Rojo, Azul Celeste"
EP_00048,Maxi Chaleco Begonia,Chaleco,https://drive.google.com/uc?export=view&id=1b_IxDKciMRkE2pZuh1TnnpyIfd5p53hS,00048_MAXI_CHALECO_BEGONIA.png,135000,S-M-L,"Verde, Beige, Cafe"
EP_00049,Chaleco Roxan,Chaleco,https://drive.google.com/uc?export=view&id=1fAkAmsyk2P0PrJyex6VVs9z_5v2tTyb3,00049_CHALECO_ROXAN.png,150000,Única,Verde
EP_00050,Blazer España,Blazer,https://drive.google.com/uc?export=view&id=1MTiNp1lHBWMAT5EShq_YNv3Ul63xPuAJ,00050_BLAZER_ESPAÑA.png,130000,S-M,"Verde, Rojo, Fucsia, Rosado"
EP_00051,Blazer Franchesca С,Blazer,https://drive.google.com/uc?export=view&id=1fNppUe_xSo5PXX3tkirWxl_4pH1xd1kZ,00051_BLAZER_FRANCHESCA_С.png,135000,S-M-L,Gris Cafe
EP_00052,Blazer Franchesca,Blazer,https://drive.google.com/uc?export=view&id=1U3ZYFLmLlSRFhRssjcMxfPexk3Z6BjDW,00052_BLAZER_FRANCHESCA.png,135000,S-M-L,"Naranja, Rosado, Azul"
EP_00053,Blazer Tailoring,Blazer,https://drive.google.com/uc?export=view&id=1AF9xvwxCaEGMLYmuDcCrnJphyFnJtYJ-,00053_BLAZER_TAILORING.png,145000,S-M-L,"Negro, Gris, Cafe, Beige"
EP_00054,Blazer Buro,Blazer,https://drive.google.com/uc?export=view&id=1EeuWof7EyvBDvIZDJtgKFW9ko4GYgkUq,00054_BLAZER_BURO.png,140000,S-M-L,"Cafe, Negro, Lila, Azul"
EP_00055,Blazer Week,Blazer,https://drive.google.com/uc?export=view&id=1UTfAIg-WR4gi-Dqgskqpm0VRcNA-8hpi,00055_BLAZER_WEEK.png,150000,S-M-L,"Amarillo, Verde, Rosado, Blanco, Beige, Azul, Cafe"
EP_00056,Blazer Italia,Blazer,https://drive.google.com/uc?export=view&id=1APWq51dSj8E4ylQOVjX0XEc0E-vr-cSr,00056_BLAZER_ITALIA.png,170000,S-M-L,Negro
EP_00057,Blazer 005,Blazer,https://drive.google.com/uc?export=view&id=1NhfbsEuaoYaE95lbLKzlHjO0bnFJ9-qh,00057_BLAZER_005.png,220000,S-M-L,"Negro Beige, Blanco"
EP_00058,Blazer Kora,Blazer,https://drive.google.com/uc?export=view&id=1QQZdG8LJ6xAuUEg_2WUSsAfaLuc6zy1W,00058_BLAZER_KORA.png,155000,S-M-L,"Negro, Cafe, Beige, Azul, Rosado"
EP_00059,Blazer Cole,Blazer,https://drive.google.com/uc?export=view&id=1YuRkCQcdT_aivFUd8zYtmrpXM66xl2V8,00059_BLAZER_COLE.png,165000,S-M-L,"Lila, Amarillo, Cafe, Verde Biche"
EP_00060,Blazer Elegan,Blazer,https://drive.google.com/uc?export=view&id=1yVgyixoz1MeZjKKZvyvCPLeUOZb5XluP,00060_BLAZER_ELEGAN.png,205000,S-M-L,"Negro, Blanco, Cafe, Verde, Beige, Azul"
EP_00061,Blazer Balmain,Blazer,https://drive.google.com/uc?export=view&id=1I_fBv34Z39wEID1OkJyogquCsUBjYCQf,00061_BLAZER_BALMAIN.png,170000,S-M-L,"Lila, Fucsia, Naranja, Verde"
EP_00062,Blazer Glaston,Blazer,https://drive.google.com/uc?export=view&id=1MRar5PzYpA_f6K66Dvgj5onNCDlo9GTE,00062_BLAZER_GLASTON.png,160000,S-M-L,"Naranja, Lila, Azul"
EP_00063,Blazer Iconic,Blazer,https://drive.google.com/uc?export=view&id=1ktqeC4fdNkUWeKTDnNkKF1qRTjeJgRGS,00063_BLAZER_ICONIC.png,205000,S-M-L,Morado Claro
EP_00064,Blazer 3519,Blazer,https://drive.google.com/uc?export=view&id=18RZcIkN10Vq4_M_bmmh_VLM1BGjguI0L,00064_BLAZER_3519.png,185000,S-M-L,"Negro, Cafe"
EP_00065,Blazer Koko,Blazer,https://drive.google.com/uc?export=view&id=1x-1jh6rVjPgNRoM9KuLkUyVFOnES3xjC,00065_BLAZER_KOKO.png,165000,S-M-L,"Negro, Lila, Rosado, Verde, Naranja"
EP_00066,Blazer Elton,Blazer,https://drive.google.com/uc?export=view&id=1Isp1AE4XiwaEdqENlzirmuuCYMWrCINJ,00066_BLAZER_ELTON.png,205000,S-M-L,Blanco
EP_00067,Blazer Bolonia,Blazer,https://drive.google.com/uc?export=view&id=1k6buQSjUfKs5cfSAwE40SbTpKEgVXPnS,00067_BLAZER_BOLONIA.png,175000,S-M-L,"Naranja, Verde, Cafe, Blanco, Fucsia"
EP_00068,Blazer Pausini,Blazer,https://drive.google.com/uc?export=view&id=1BEkMrWiUSVGnDBG5p6kUu2vaRFp7i1pi,00068_BLAZER_PAUSINI.png,90000,S-M,Rojo
EP_00069,Blazer Keo,Blazer,https://drive.google.com/uc?export=view&id=1TzZQNNmCZ5WfFj16F0RI-swCSTv0fqm2,00069_BLAZER_KEO.png,165000,S-M-L,"Blanco, Cafe"
EP_00070,Blazer Korin,Blazer,https://drive.google.com/uc?export=view&id=1hbHC95bu2nYQV6a4FF31RsOnOI_AcEN6,00070_BLAZER_KORIN.png,165000,S-M-L,"Rosado, Lila, Verde, Negro, Naranja"
